Country	iso3c	ID	Caption	Provider	Artist	ArtistExtra	ArtistURL	Artist2ndURL	ArtistHTML	License	LicenseURL	InfoURL	FileURL	iso2c	folder	ImageName	OriginURL	Previous effort to make Attribution
Kuwait	KWT	2	Around 99% of the country’s fresh water comes from desalination, itself an energy-intensive process currently heavily dependent on oil.	FreeImages	<copy paste>	NA	<right-click username; Copy link address>	NA	NA	FreeImages.com	https://www.freeimages.com/license	https://www.freeimages.com/photo/kuwait-tower-1451754	https://images.freeimages.com/images/large-previews/e0c/kuwait-tower-1451754.jpg	KW	NA	kuwait-tower-1451754	NA	NA
Netherlands	NLD	1	Traffic and transport account for the most environmental damage in the Netherlands.	FreeImages	13dede	NA	https://www.freeimages.com/photographer/13dede-49047	NA	NA	FreeImages.com	https://www.freeimages.com/license	https://www.freeimages.com/photo/amsterdam-netherland-1214636	<not available; JM downloaded manually>	NL	NA	amsterdam-netherland-1214636	NA	NA
Netherlands	NLD	3	Every year the Netherlands incurs 31 billion euros worth of damage to the environment through the emission of harmful substances.	FreeImages	phelle	NA	https://www.freeimages.com/photographer/phelle-33720	NA	NA	FreeImages.com	https://www.freeimages.com/license	https://www.freeimages.com/photo/dutch-landscapes-3-1410396	<not available; JM downloaded manually>	NL	NA	dutch-landscapes-3-1410396	NA	NA
Oman	OMN	2	The pressures from population growth are mounting especially around fresh water scarcity and increase in pollution from development.	FreeImages	<copy paste>	NA	<right-click username; Copy link address>	NA	NA	FreeImages.com	https://www.freeimages.com/license	https://www.freeimages.com/photo/oman-9-1522488	https://images.freeimages.com/images/large-previews/e82/oman-9-1522488.jpg	OM	NA	oman-9-1522488	NA	NA
Paraguay	PRY	2	The yacare caiman (Caiman yacare) is endemic to Argentina, Bolivia, Brazil, and Paraguay.	FreeImages	<copy paste>	NA	<right-click username; Copy link address>	NA	NA	FreeImages.com	https://www.freeimages.com/license	https://www.freeimages.com/photo/yacare-from-paraguay-1527762	https://images.freeimages.com/images/large-previews/99f/yacare-from-paraguay-1527762.jpg	PY	NA	yacare-from-paraguay-1527762	NA	NA
Senegal	SEN	3	Senegal citizens live a generally subsistence life, yet due to unsustainable population growth, its people now consume more natural resources than can be regenerated naturally.	FreeImages	<copy paste>	NA	<right-click username; Copy link address>	NA	NA	FreeImages.com	https://www.freeimages.com/license	https://www.freeimages.com/photo/grand-dakar-1218128	https://images.freeimages.com/images/large-previews/64f/grand-dakar-1218128.jpg	SN	NA	grand-dakar-1218128	NA	NA
Bangladesh	BGD	1	60% of the population is under the age of 25 years. The teenage (15 – 19 years) birth rate is twice as high as that of the US.	Pixabay	NA	NA	NA	NA	NA	Pixabay License	https://pixabay.com/service/license/	NA	https://cdn.pixabay.com/photo/2019/11/01/12/15/bangladesh-4594049_1280.jpg	BD	NA	NA	NA	NA
Belize	BLZ	5	Tourism brings in more than $200 million to Belize.	Pixabay	Michelle_Raponi	NA	<right-click username; Copy link address>	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/belize-people-person-tourism-1345133/	https://pixabay.com/get/g9b8d32d05bbf5bfc71fb4355864b83536b6f30a6fc36a7bc90a0efe4ee29b58c9a49ee76e102e81c70e0cd9a2152a4fce3b7ff82890baf52a2f6bede9b05ebbc_640.jpg	BZ	NA	1345133	NA	NA
Burundi	BDI	4	5 to 6 children per mother.	Pixabay	kassoum_kone	NA	https://pixabay.com/users/kassoum_kone-1914664/	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/child-african-poor-poverty-orphan-5445463/	https://pixabay.com/get/g4eb1b82405ff585a5fd1177624ca0318f4b01b80620f7a628755ad690b9bf306b69deeed276ecf4f9f67832aa7e440d01ea3cb2329b6c423d0377494ca9a5c76_640.jpg	BI	NA	5445463	NA	NA
Cabo Verde	CPV	3	Soil loss through wind and water erosion is a serious challenge.	Pixabay	djm24	NA	https://pixabay.com/users/djm24-5834212/	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/boa-vista-cape-verde-desert-drought-2479700/	https://pixabay.com/get/g88543e0b22e4e626bd7a2b885588e528ba55b19d591c7c39deca9db09015b9ed64dfe05c8c06c4a38a25da867441b018a8851aadc02f7658b9d5c858e6ced161_640.jpg	CV	NA	2479700	NA	NA
Central African Republic	CAF	1	Much of the country is part of the Congo Basin, home to the second-largest rainforest on the planet.	Pixabay	WindKommunikation	NA	https://pixabay.com/users/WindKommunikation-9444660/	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/rwenzori-mountains-border-congo-4341914/	https://pixabay.com/get/g4ec4919cd32542aa9f23cad883a777ff88cad94cd728cba62cd96e8b1d9ae75257919fe3163b009b620469213809212d7fbb6d44e9364edb2433e21d6654faab_640.jpg	CF	NA	4341914	NA	NA
Colombia	COL	4	Girls’ education has led to increased participation in the workforce, growing from 30 percent to 43 percent between 1990 and 2012.	Pixabay	rafatrivoro	NA	https://pixabay.com/users/rafatrivoro-12603879/	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/girls-wayuu-indian-culture-4232029/	https://pixabay.com/get/gf73d82b8322f090f797b5c2c8148711b125626cd68c55e19f682d5e4008d119e911d57afb70b41e3a1526daa9cc0ceac122b9d465bd1b5a63a9a673ce93e951c_640.jpg	CO	NA	4232029	NA	NA
Costa Rica	CRI	1	Costa Rica is a country of exceptionally rich and well-protected biodiversity.	Pixabay	kiwibu	NA	https://pixabay.com/users/kiwibu-12829688/	NA	NA	Pixabay License	https://pixabay.com/service/license/	https://pixabay.com/photos/waterfall-costa-rica-water-4289660/	https://pixabay.com/get/g021c5ef3e8cbf6322ce4ca8f197b26f8af82df55240de47623c8d292aa1d785ca2bc2bac3a49941ef4efcb5c72991d230a4cceb8184713108fa212abdf49d989_640.jpg	CR	NA	4289660	NA	NA
