Country	iso3c	ID	Caption	Provider	Artist	ArtistURL	License	LicenseURL	ImageName	InfoURL	FileURL	folder	CreditHTML	Format	Width	Height	iso2c
Afghanistan	AFG	1	Inadequate female education.	Pixnio	NA	NA	CC0	https://pixnio.com/creative-commons-license	NA	https://pixnio.com/people/children-kids/afghan-girls-receive-food-aid-and-education	NA	NA	NA	NA	NA	NA	AF
Afghanistan	AFG	2	Large Afghan family.	Wikimedia	NA	NA	NA	NA	NA	NA	https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Afghan_family_Pashtun_home.JPEG/640px-Afghan_family_Pashtun_home.JPEG	NA	NA	NA	NA	NA	AF
Afghanistan	AFG	3	Dessicated wetland.	Pixnio	NA	NA	CC0	https://pixnio.com/creative-commons-license	NA	https://pixnio.com/nature-landscapes/wetlands-and-swamps/dry-wetlands-in-summer-time	NA	NA	NA	NA	NA	NA	AF
Albania	ALB	1	Albania’s biggest city,Tirana.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Tirana_from_South.jpg	NA	NA	NA	NA	NA	NA	AL
Albania	ALB	2	Farmer in Northern Albania.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Farmer_in_Field_-_Theth_Village_-_Northern_Albania_(41838452595).jpg	NA	NA	NA	NA	NA	NA	AL
Albania	ALB	3	Albanian schoolchildren.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Albanian_children_at_school.jpg	NA	NA	NA	NA	NA	NA	AL
Albania	ALB	4	Air pollution.	Pixnio	NA	NA	CC0	https://pixnio.com/creative-commons-license	NA	https://pixnio.com/miscellaneous/smoke-technology-toxic-air-pollution-climate-factory	NA	NA	NA	NA	NA	NA	AL
Algeria	DZA	1	Algeria has large proved reserves of crude oil and natural gas, as well as resources that already are connected to world markets through an extensive natural gas pipeline network.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Oil_and_natural_gas_basins_and_pipeline_infrastructure_in_Algeria_(29079856511).png	NA	NA	NA	NA	NA	NA	DZ
Algeria	DZA	2	4/5 of Algeria is desert.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Lone_tree_in_the_desert.jpg	NA	NA	NA	NA	NA	NA	DZ
Algeria	DZA	3	Algeria imports roughly half of all the food it needs for its growing population.	Wikimedia	NA	NA	NA	NA	NA	https://commons.wikimedia.org/wiki/File:Wikipedia_Education_Program_Algeria_V2_Ceremony_(53).jpg	NA	NA	NA	NA	NA	NA	DZ
