Country	iso3c	ID	Caption	Provider	Artist	ArtistURL	ArtistHTML	License	LicenseURL	ImageName	InfoURL	FileURL	folder	iso2c	OriginURL	w640_URL	Attribution
Afghanistan	AFG	1	Inadequate female education.	Pixnio	NA	NA	NA	NA	NA	NA	https://pixnio.com/people/children-kids/afghan-girls-receive-food-aid-and-education	NA	NA	AF	NA	NA	NA
Afghanistan	AFG	2	Large Afghan family.	Wikimedia	NA	NA	DoD photo by: SRA BETHANN HUNT, USAF	Public domain	NA	Afghan_family_Pashtun_home.JPEG	https://commons.wikimedia.org/wiki/File:Afghan_family_Pashtun_home.JPEG	https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Afghan_family_Pashtun_home.JPEG/640px-Afghan_family_Pashtun_home.JPEG	3/37/	AF	NA	NA	NA
Afghanistan	AFG	3	Dessicated wetland.	Pixnio	NA	NA	NA	NA	NA	NA	https://pixnio.com/nature-landscapes/wetlands-and-swamps/dry-wetlands-in-summer-time	NA	NA	AF	NA	NA	NA
Albania	ALB	1	Albania’s biggest city,Tirana.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Albinfo' title='User:Albinfo'>Albinfo</a>	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Tirana_from_South.jpg	https://commons.wikimedia.org/wiki/File:Tirana_from_South.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Tirana_from_South.jpg/640px-Tirana_from_South.jpg	0/06/	AL	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Albinfo' title='User:Albinfo'>Albinfo</a>, <a href='https://commons.wikimedia.org/wiki/File:Tirana_from_South.jpg'>Tirana_from_South.jpg</a>; <a href='https://creativecommons.org/licenses/by-sa/3.0'>CC BY-SA 3.0</a>, via Wikimedia Commons
Albania	ALB	2	Farmer in Northern Albania.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/41000732@N04'>Adam Jones</a> from Kelowna, BC, Canada	CC BY-SA 2.0	https://creativecommons.org/licenses/by-sa/2.0	Farmer_in_Field_-_Theth_Village_-_Northern_Albania_(41838452595).jpg	https://commons.wikimedia.org/wiki/File:Farmer_in_Field_-_Theth_Village_-_Northern_Albania_(41838452595).jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Farmer_in_Field_-_Theth_Village_-_Northern_Albania_(41838452595).jpg/640px-Farmer_in_Field_-_Theth_Village_-_Northern_Albania_(41838452595).jpg	4/4e/	AL	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/41000732@N04'>Adam Jones</a> from Kelowna, BC, Canada, <a href='https://commons.wikimedia.org/wiki/File:Farmer_in_Field_-_Theth_Village_-_Northern_Albania_(41838452595).jpg'>Farmer_in_Field_-_Theth_Village_-_Northern_Albania_(41838452595).jpg</a>; <a href='https://creativecommons.org/licenses/by-sa/2.0'>CC BY-SA 2.0</a>, via Wikimedia Commons
Albania	ALB	3	Albanian schoolchildren.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Goodfaith17&amp;action=edit&amp;redlink=1' class='new' title='User:Goodfaith17 (page does not exist)'>Goodfaith17</a>	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Albanian_children_at_school.jpg	https://commons.wikimedia.org/wiki/File:Albanian_children_at_school.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Albanian_children_at_school.jpg/640px-Albanian_children_at_school.jpg	b/b8/	AL	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Goodfaith17&amp;action=edit&amp;redlink=1' class='new' title='User:Goodfaith17 (page does not exist)'>Goodfaith17</a>, <a href='https://commons.wikimedia.org/wiki/File:Albanian_children_at_school.jpg'>Albanian_children_at_school.jpg</a>; <a href='https://creativecommons.org/licenses/by-sa/3.0'>CC BY-SA 3.0</a>, via Wikimedia Commons
Albania	ALB	4	Air pollution.	Pixnio	NA	NA	NA	NA	NA	NA	https://pixnio.com/miscellaneous/smoke-technology-toxic-air-pollution-climate-factory	NA	NA	AL	NA	NA	NA
Algeria	DZA	1	Algeria has large proved reserves of crude oil and natural gas, as well as resources that already are connected to world markets through an extensive natural gas pipeline network.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/124982865@N08'>U.S. Energy Information Administration</a>	Public domain	NA	Oil_and_natural_gas_basins_and_pipeline_infrastructure_in_Algeria_(29079856511).png	https://commons.wikimedia.org/wiki/File:Oil_and_natural_gas_basins_and_pipeline_infrastructure_in_Algeria_(29079856511).png	NA	c/ce/	DZ	https://upload.wikimedia.org/wikipedia/commons/c/ce/Oil_and_natural_gas_basins_and_pipeline_infrastructure_in_Algeria_%2829079856511%29.png	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Oil_and_natural_gas_basins_and_pipeline_infrastructure_in_Algeria_(29079856511).png/640px-Oil_and_natural_gas_basins_and_pipeline_infrastructure_in_Algeria_(29079856511).png	NA
Algeria	DZA	2	4/5 of Algeria is desert.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Deepkadam&amp;action=edit&amp;redlink=1' class='new' title='User:Deepkadam (page does not exist)'>Deep Kadam</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Lone_tree_in_the_desert.jpg	https://commons.wikimedia.org/wiki/File:Lone_tree_in_the_desert.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Lone_tree_in_the_desert.jpg/640px-Lone_tree_in_the_desert.jpg	e/ee/	DZ	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Deepkadam&amp;action=edit&amp;redlink=1' class='new' title='User:Deepkadam (page does not exist)'>Deep Kadam</a>, <a href='https://commons.wikimedia.org/wiki/File:Lone_tree_in_the_desert.jpg'>Lone_tree_in_the_desert.jpg</a>; <a href='https://creativecommons.org/licenses/by-sa/4.0'>CC BY-SA 4.0</a>, via Wikimedia Commons
Algeria	DZA	3	Algeria imports roughly half of all the food it needs for its growing population.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Bachounda' title='User:Bachounda'>Bachounda</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Wikipedia_Education_Program_Algeria_V2_Ceremony_(53).jpg	https://commons.wikimedia.org/wiki/File:Wikipedia_Education_Program_Algeria_V2_Ceremony_(53).jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Wikipedia_Education_Program_Algeria_V2_Ceremony_(53).jpg/640px-Wikipedia_Education_Program_Algeria_V2_Ceremony_(53).jpg	a/a4/	DZ	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Bachounda' title='User:Bachounda'>Bachounda</a>, <a href='https://commons.wikimedia.org/wiki/File:Wikipedia_Education_Program_Algeria_V2_Ceremony_(53).jpg'>Wikipedia_Education_Program_Algeria_V2_Ceremony_(53).jpg</a>; <a href='https://creativecommons.org/licenses/by-sa/4.0'>CC BY-SA 4.0</a>, via Wikimedia Commons
Angola	AGO	1	A rural Angola village.	Wikimedia	NA	NA	Paulo César Santos	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	Streetscene_Angola_village.JPG	https://commons.wikimedia.org/wiki/File:Streetscene_Angola_village.JPG	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Streetscene_Angola_village.JPG/640px-Streetscene_Angola_village.JPG	6/6b/	AO	NA	NA	Paulo César Santos, <a href='https://commons.wikimedia.org/wiki/File:Streetscene_Angola_village.JPG'>Streetscene_Angola_village.JPG</a>; <a href='http://creativecommons.org/publicdomain/zero/1.0/deed.en'>CC0</a>, via Wikimedia Commons
Angola	AGO	2	Agroforestry contour planting.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Pixture2016&amp;action=edit&amp;redlink=1' class='new' title='User:Pixture2016 (page does not exist)'>Pixture2016</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Agroforestry_contour_planting.jpg	https://commons.wikimedia.org/wiki/File:Agroforestry_contour_planting.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Agroforestry_contour_planting.jpg/640px-Agroforestry_contour_planting.jpg	a/ab/	AO	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Pixture2016&amp;action=edit&amp;redlink=1' class='new' title='User:Pixture2016 (page does not exist)'>Pixture2016</a>, <a href='https://commons.wikimedia.org/wiki/File:Agroforestry_contour_planting.jpg'>Agroforestry_contour_planting.jpg</a>; <a href='https://creativecommons.org/licenses/by-sa/4.0'>CC BY-SA 4.0</a>, via Wikimedia Commons
Angola	AGO	3	Polluted waters.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Fotokannan' title='User:Fotokannan'>Fotokannan</a>	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Water_pollution_due_to_plastic.jpg	https://commons.wikimedia.org/wiki/File:Water_pollution_due_to_plastic.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Water_pollution_due_to_plastic.jpg/640px-Water_pollution_due_to_plastic.jpg	5/5f/	AO	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Fotokannan' title='User:Fotokannan'>Fotokannan</a>, <a href='https://commons.wikimedia.org/wiki/File:Water_pollution_due_to_plastic.jpg'>Water_pollution_due_to_plastic.jpg</a>; <a href='https://creativecommons.org/licenses/by-sa/3.0'>CC BY-SA 3.0</a>, via Wikimedia Commons
